Adj Close,Date
1.1186,5/6/2019
1.1202,5/7/2019
1.1191,5/8/2019
1.1198,5/9/2019
1.1222,5/10/2019
1.1236,5/13/2019
1.1233,5/14/2019
1.1204,5/15/2019
1.1207,5/16/2019
1.1174,5/17/2019
1.1165,5/20/2019
1.1169,5/21/2019
1.1155,5/23/2019
1.1185,5/24/2019
1.121,5/27/2019
1.1194,5/28/2019
1.1171,5/29/2019
1.1137,5/30/2019
1.1131,5/31/2019
1.1174,6/3/2019
1.1246,6/4/2019
1.1254,6/5/2019
1.1229,6/6/2019
1.1277,6/7/2019
1.132,6/10/2019
1.1318,6/11/2019
1.133,6/12/2019
1.1296,6/13/2019
1.128,6/14/2019
1.1217,6/17/2019
1.1225,6/18/2019
1.1198,6/19/2019
1.1238,6/20/2019
1.1296,6/21/2019
1.1385,6/24/2019
1.14,6/25/2019
1.137,6/26/2019
1.1375,6/27/2019
1.1373,6/28/2019
1.1365,7/1/2019
1.1287,7/2/2019
1.1293,7/3/2019
1.1288,7/4/2019
1.1286,7/5/2019
1.1227,7/8/2019
1.1216,7/9/2019
1.1208,7/10/2019
1.1259,7/11/2019
1.1252,7/12/2019
1.1272,7/15/2019
1.1262,7/16/2019
1.1212,7/17/2019
1.123,7/18/2019
1.1262,7/19/2019
1.1218,7/22/2019
1.1206,7/23/2019
1.1151,7/24/2019
1.1142,7/25/2019
1.1146,7/26/2019
1.1132,7/29/2019
1.1143,7/30/2019
1.1158,7/31/2019
1.1072,8/1/2019
1.1079,8/2/2019
1.1108,8/5/2019
1.1244,8/6/2019
1.1207,8/7/2019
1.1204,8/8/2019
1.1187,8/9/2019
1.1208,8/12/2019
1.1218,8/13/2019
1.1177,8/14/2019
1.1143,8/15/2019
1.1114,8/16/2019
1.1094,8/19/2019
1.1083,8/20/2019
1.1098,8/21/2019
1.1091,8/22/2019
1.1084,8/23/2019
1.1143,8/26/2019
1.1104,8/27/2019
1.109,8/28/2019
1.1086,8/29/2019
1.1062,8/30/2019
1.0992,9/2/2019
1.0969,9/3/2019
1.0975,9/4/2019
1.1035,9/5/2019
1.1036,9/6/2019
1.1021,9/9/2019
1.1048,9/10/2019
1.105,9/11/2019
1.1013,9/12/2019
1.1058,9/13/2019
1.1083,9/16/2019
1.1006,9/17/2019
1.1075,9/18/2019
1.1031,9/19/2019
1.1049,9/20/2019
1.1019,9/23/2019
1.0994,9/24/2019
1.1017,9/25/2019
1.0953,9/26/2019
1.0923,9/27/2019
1.0943,9/30/2019
1.09,10/1/2019
1.0935,10/2/2019
1.0964,10/3/2019
1.0975,10/4/2019
1.0987,10/7/2019
1.0972,10/8/2019
1.096,10/9/2019
1.0988,10/10/2019
1.1011,10/11/2019
1.103,10/14/2019
1.1029,10/15/2019
1.1035,10/16/2019
1.1075,10/17/2019
1.1127,10/18/2019
1.1156,10/21/2019
1.1152,10/22/2019
1.1129,10/23/2019
1.1132,10/24/2019
1.1104,10/25/2019
1.1084,10/28/2019
1.1099,10/29/2019
1.1115,10/30/2019
1.1154,10/31/2019
1.1157,11/1/2019
1.1167,11/4/2019
1.1129,11/5/2019
1.1074,11/6/2019
1.107,11/7/2019
1.102,11/8/2019
1.1022,11/11/2019
1.1035,11/12/2019
1.1012,11/13/2019
1.1013,11/14/2019
1.102,11/15/2019
1.1055,11/18/2019
1.1072,11/19/2019
1.108,11/20/2019
1.1079,11/21/2019
1.1066,11/22/2019
1.1023,11/25/2019
1.1014,11/26/2019
1.1023,11/27/2019
